Strain	Source	Isolation date (mo-yr)	Outbreak no.	PFGE pattern	PT	Canadian PFGE pattern	SRA Accession	BioHansel SHv0.5.0 subtype for assembly	BioHansel QC for assembly
SH12-001	Human	5-2012	1	2	19	SHXAI.0001/SHBNI.0001	SRR3028736	2.2.2.2.1.2	PASS
SH12-002	Human	5-2012	1	2	19	SHXAI.0001/SHBNI.0001	SRR3028737	2.2.2.2.1.2	PASS
SH12-003	Human	5-2012	1	2	19	SHXAI.0001/SHBNI.0001	SRR3028738	2.2.2.2.1.2	PASS
SH12-004	Human	5-2012	1	2	19	SHXAI.0001/SHBNI.0001	SRR3028739	2.2.2.2.1.2	PASS
SH12-005	Human	5-2012	1	2	19	SHXAI.0001/SHBNI.0001	SRR3028740	2.2.2.2.1.2	PASS
SH12-006	Human	5-2012	1	2	19	SHXAI.0001/SHBNI.0001	SRR3028741	2.2.2.2.1.2	PASS
SH12-007	Human	5-2012	1	2	19	SHXAI.0001/SHBNI.0001	SRR3028742	2.2.2.2.1.2	PASS
SH12-008	Human	5-2012	1	2	19	SHXAI.0001/SHBNI.0001	SRR3028743	2.2.2.2.1.2	PASS
SH12-009	Food	5-2012	1	2	19	SHXAI.0001/SHBNI.0001	SRR3028744	2.2.2.2.1.2	PASS
SH12-010	Food	5-2012	1	2	19	SHXAI.0001/SHBNI.0001	SRR3028745	2.2.2.2.1.2	PASS
SH13-001	Human	11-2013	2	2	26	SHXAI.0001/SHBNI.0001	SRR3028746	2.2.1.1	PASS
SH13-002	Human	11-2013	2	2	26	SHXAI.0001/SHBNI.0001	SRR3028747	2.2.1.1	PASS
SH13-003	Human	11-2013	2	2	26	SHXAI.0001/SHBNI.0001	SRR3028748	2.2.1.1	PASS
SH13-004	Human	11-2013	2	2	26	SHXAI.0001/SHBNI.0001	SRR3028749	2.2.1.1	PASS
SH13-005	Human	11-2013	2	2	26	SHXAI.0001/SHBNI.0001	SRR3028750	2.2.1.1	PASS
SH13-006	Human	11-2013	2	2	26	SHXAI.0001/SHBNI.0001	SRR3028751	2.2.1.1	PASS
SH13-007	Human	11-2013	2	2	26	SHXAI.0001/SHBNI.0001	SRR3028752	2.2.1.1	PASS
SH13-008	Human	11-2013	2	2	26	SHXAI.0001/SHBNI.0001	SRR3028753	2.2.1.1	PASS
SH14-001	Human	7-2014	3	2	19	SHXAI.0001/SHBNI.0001	SRR3028754	2.2.2.1.2	PASS
SH14-002	Human	8-2014	3	2	19	SHXAI.0001/SHBNI.0001	SRR3028755	2.2.2.1.2	PASS
SH14-003	Human	8-2014	3	2	19	SHXAI.0001/SHBNI.0001	SRR3028756	2.2.2.1.2	PASS
SH14-004	Human	8-2014	3	2	19	SHXAI.0001/SHBNI.0001	SRR3028757	2.2.2.1.2	PASS
SH14-005	Human	8-2014	3	2	19	SHXAI.0001/SHBNI.0001	SRR3028758	2.2.2.1.2	PASS
SH14-006	Human	8-2014	3	2	19	SHXAI.0001/SHBNI.0001	SRR3028759	2.2.2.1.2	PASS
SH14-007	Human	8-2014	3	2	19	SHXAI.0001/SHBNI.0001	SRR3028760	2.2.2.1.2	PASS
SH14-008	Human	8-2014	3	2	19	SHXAI.0001/SHBNI.0001	SRR3028761	2.2.2.1.2	PASS
SH14-009	Human	8-2014	3	2	19	SHXAI.0001/SHBNI.0001	SRR3028762	2.2.2.1.2	PASS
SH14-010	Human	8-2014	3	2	17	SHXAI.0001/SHBNI.0001	SRR3028763	2.2.2.1.2	PASS
SH14-011	Human	8-2014	3	2	17	SHXAI.0001/SHBNI.0001	SRR3028764	2.2.2.1.2	PASS
SH14-012	Human	8-2014	3	2	ATHE-35	SHXAI.0001/SHBNI.0001	SRR3028765	2.2.2.1.2	PASS
SH14-013	Food	8-2014	3	2	19	SHXAI.0001/SHBNI.0001	SRR3028766	2.2.2.1.2	PASS
SH14-014	Food	8-2014	3	2	19	SHXAI.0001/SHBNI.0001	SRR3028767	2.2.2.1.2	PASS
SH14-015	Food	8-2014	3	2	19	SHXAI.0001/SHBNI.0001	SRR3028768	2.2.2.1.2	PASS
SH14-016	Food	8-2014	3	2	19	SHXAI.0001/SHBNI.0001	SRR3028769	2.2.2.1.2	PASS
SH14-017	Food	8-2014	3	2	19	SHXAI.0001/SHBNI.0001	SRR3028770	2.2.2.1.2	PASS
SH14-018	Food	8-2014	3	2	19	SHXAI.0001/SHBNI.0001	SRR3028771	2.2.2.1.2	PASS
SH14-019	Food	8-2014	3	2	19	SHXAI.0001/SHBNI.0001	SRR3028772	2.2.2.1.2	PASS
SH14-020	Food	8-2014	3	2	19	SHXAI.0001/SHBNI.0001	SRR3028773	2.2.2.1.2	PASS
SH14-021	Food	8-2014	3	2	19	SHXAI.0001/SHBNI.0001	SRR3028774	2.2.2.1.2	PASS
